bd_swab_id,qpcr_plate_id,average_ct,average_target_quant,standard,qpcr_date,qpcr_lab
180505-53-PA04-LICL,SERDP_74_070218,32.42481613,121.7256393,plasmid-pisces,2018-07-02T00:00:00Z,rz_lab
180505-54-PA04-LICL,SERDP_74_070218,35.25208282,16.837030410000004,plasmid-pisces,2018-07-02T00:00:00Z,rz_lab
180505-55-PA04-LICL,SERDP_74_070218,30.35108757,519.4243774,plasmid-pisces,2018-07-02T00:00:00Z,rz_lab
180505-56-PA04-LICL,SERDP_74_070218,29.94621468,689.5255126999999,plasmid-pisces,2018-07-02T00:00:00Z,rz_lab
180505-57-PA04-LICL,SERDP_81_073018,36.8106308,3.69648695,plasmid-pisces,2018-07-30T00:00:00Z,rz_lab
180505-58-PA04-LICL,SERDP_81_073018,33.37292862,42.955291749999994,plasmid-pisces,2018-07-30T00:00:00Z,rz_lab
180505-59-PA04-LICL,SERDP_81_073018,34.83288193,15.15746498,plasmid-pisces,2018-07-30T00:00:00Z,rz_lab
180505-61-PA04-LICL,SERDP_81_073018,32.21648026,98.0304184,plasmid-pisces,2018-07-30T00:00:00Z,rz_lab
180505-62-PA04-LICL,SERDP_81_073018,32.37861252,87.32157134999999,plasmid-pisces,2018-07-30T00:00:00Z,rz_lab
180505-63-PA04-LICL,SERDP_81_073018,32.20293808,98.98220062,plasmid-pisces,2018-07-30T00:00:00Z,rz_lab
180505-64-PA04-LICL,SERDP_81_073018,30.67604065,294.2326965,plasmid-pisces,2018-07-30T00:00:00Z,rz_lab
180505-65-PA04-LICL,SERDP_75_072718,34.9739418,9.69094944,plasmid-pisces,2018-07-27T00:00:00Z,rz_lab
180512-01-PA02-LICA,SERDP_82_080218,30.12870789,408.3450928,plasmid-pisces,2018-08-02T00:00:00Z,rz_lab
180512-02-PA02-LICL,SERDP_82_080218,32.13600922,96.81729889,plasmid-pisces,2018-08-02T00:00:00Z,rz_lab
180512-03-PA02-LICA,SERDP_82_080218,29.86705971,492.6116638,plasmid-pisces,2018-08-02T00:00:00Z,rz_lab
180512-04-PA02-LICL,SERDP_82_080218,26.40479088,5897.344238000001,plasmid-pisces,2018-08-02T00:00:00Z,rz_lab
180512-05-PA02-PSCR,SERDP_82_080218,33.10543442,48.31406783999999,plasmid-pisces,2018-08-02T00:00:00Z,rz_lab
180512-07-PA02-LICL,SERDP_82_080218,27.65959358,2398.3383790000003,plasmid-pisces,2018-08-02T00:00:00Z,rz_lab
180512-08-PA02-LICL,SERDP_82_080218,28.03601456,1831.018799,plasmid-pisces,2018-08-02T00:00:00Z,rz_lab
180512-09-PA02-LICL,SERDP_82_080218,32.78190613,60.9284935,plasmid-pisces,2018-08-02T00:00:00Z,rz_lab
180512-11-PA02-PSCR,SERDP_82_080218,29.04323769,889.2894897000001,plasmid-pisces,2018-08-02T00:00:00Z,rz_lab
180512-12-PA02-PSCR,SERDP_82_080218,36.73630142,3.576187611,plasmid-pisces,2018-08-02T00:00:00Z,rz_lab
180512-14-PA02-PSCR,SERDP_82_080218,39.77317429,0.405263007,plasmid-pisces,2018-08-02T00:00:00Z,rz_lab
180512-15-PA02-PSCR,SERDP_82_080218,27.63820839,2435.3972170000006,plasmid-pisces,2018-08-02T00:00:00Z,rz_lab
180512-16-PA02-PSCR,SERDP_82_080218,31.9105835,113.8021927,plasmid-pisces,2018-08-02T00:00:00Z,rz_lab
180512-17-PA02-PSCR,SERDP_82_080218,38.26961136,1.191096663,plasmid-pisces,2018-08-02T00:00:00Z,rz_lab
180512-18-PA02-PSCR,SERDP_82_080218,31.58560944,143.6639099,plasmid-pisces,2018-08-02T00:00:00Z,rz_lab
180513-02-NM08-LICH,SERDP_93_091018,36.932,3.083,plasmid-pisces,2018-09-10T00:00:00Z,rz_lab
180514-01-PA12-LICL,SERDP_82_080218,38.24295425,1.2140821220000002,plasmid-pisces,2018-08-02T00:00:00Z,rz_lab
180514-01-TN04-LISP,SERDP_96_092818,34.213,114.085,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180514-02-PA12-LICL,SERDP_82_080218,32.08961868,100.0919189,plasmid-pisces,2018-08-02T00:00:00Z,rz_lab
180514-03-PA12-LICL,SERDP_82_080218,38.36205673,1.114703774,plasmid-pisces,2018-08-02T00:00:00Z,rz_lab
180514-03-TN04-LISP,SERDP_96_092818,38.915,5.003,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180514-04-PA12-LICL,SERDP_82_080218,32.13107681,97.16031647,plasmid-pisces,2018-08-02T00:00:00Z,rz_lab
180514-04-TN04-LISP,SERDP_96_092818,35.275,56.318,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180514-05-PA12-LICL,SERDP_82_080218,37.49001312,2.083119631,plasmid-pisces,2018-08-02T00:00:00Z,rz_lab
180514-05-TN04-LISP,SERDP_96_092818,33.273,213.296,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180514-06-TN04-LISP,SERDP_96_092818,36.978,18.136000000000003,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180514-07-PA12-LICL,SERDP_82_080218,34.70934296,15.297339439999998,plasmid-pisces,2018-08-02T00:00:00Z,rz_lab
