bd_swab_id,extraction_plate_id,extraction_date,qpcr_plate_id,qpcr_date,average_ct,average_copy_number,average_zoospores,extract_lab,qpcr_lab,standard,master_mix,qpcr_machine,extraction_kit,replicate,result,swab_type
190629-20-PA01-LISY,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,NA,NA,NA,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190629-21-PA01-LISY,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,36.84181595,3.1842336650000003,127.3693466,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,p,mw113
190629-22-PA01-LISY,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,NA,NA,NA,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190629-23-PA01-LISY,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,NA,NA,NA,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190629-24-PA01-LISY,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,NA,NA,NA,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190629-28-PA01-LISY,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,NA,NA,NA,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190629-29-PA01-LISY,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,NA,NA,NA,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190629-30-PA01-LISY,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,37.91003799,1.5680643319999998,62.72257328,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,p,mw113
190629-31-PA01-LICL,Extraction Plate 6 2019 VS,2019-08-08T00:00:00Z,VS19-07plate7field(2),NA,25.44991302,56726.47266,2269058.906,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,p,mw113
190629-32-PA01-LICL,Extraction Plate 6 2019 VS,2019-08-08T00:00:00Z,VS19-07plate7field(2),NA,32.68136978,145.13525389999998,5805.410156,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,p,mw113
190629-34-PA01-LISY,Extraction Plate 6 2019 VS,2019-08-08T00:00:00Z,VS19-07plate7field(2),NA,NA,NA,NA,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190629-35-PA01-LISY,Extraction Plate 6 2019 VS,2019-08-08T00:00:00Z,VS19-07plate7field(2),NA,NA,NA,NA,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190703-05-PA03-LIPI,Extraction plate 13,2019-10-21T00:00:00Z,QPCR plate13,2019-10-22T00:00:00Z,34.73745346,12.104,12.104,rz_lab,rz_lab,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,p,mw113
190703-06-PA03-LIPI,Extraction plate 13,2019-10-21T00:00:00Z,QPCR plate13,2019-10-22T00:00:00Z,NA,NA,NA,rz_lab,rz_lab,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190703-08-PA03-LIPI,Extraction plate 13,2019-10-21T00:00:00Z,QPCR plate13,2019-10-22T00:00:00Z,NA,NA,NA,rz_lab,rz_lab,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190703-09-PA03-LIPI,Extraction plate 13,2019-10-21T00:00:00Z,QPCR plate13,2019-10-22T00:00:00Z,NA,NA,NA,rz_lab,rz_lab,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190703-10-PA01-LISY,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,NA,NA,NA,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190703-10-PA03-LIPI,Extraction plate 13,2019-10-21T00:00:00Z,QPCR plate13,2019-10-22T00:00:00Z,30.3555603,239.88100000000003,239.881,rz_lab,rz_lab,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,p,mw113
190703-11-PA01-LISY,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,NA,NA,NA,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190703-11-PA03-LIPI,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,33.86118698,22.983007429999997,919.3202972,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,p,mw113
190703-12-PA01-LISY,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,NA,NA,NA,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
